Input	Generic Wind Power Curve	Generic Onshore Wind Power Curve	Generic Offshore Wind Power Curve	Siemes SWT 36 120	Siemes SWT 60 154	LWST Offshore Wind Power Curve	HWST Offshore Wind Power Curve	NWST Wind Power Curve	HWST Wind Power Curve	LWST Wind Power Curve	NWST Offshore Wind Power Curve	Nordsee One Power Curve	NWST Wind Power Curve PL
38.5	0	0	0	0	0	0	0	0	0	0	0	0	0
38.6	0	0	0	0	0	0	0	0	0	0	0	0	0
38.7	0	0	0	0	0	0	0	0	0	0	0	0	0
38.8	0	0	0	0	0	0	0	0	0	0	0	0	0
38.9	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0
39.1	0	0	0	0	0	0	0	0	0	0	0	0	0
39.2	0	0	0	0	0	0	0	0	0	0	0	0	0
39.3	0	0	0	0	0	0	0	0	0	0	0	0	0
39.4	0	0	0	0	0	0	0	0	0	0	0	0	0
39.5	0	0	0	0	0	0	0	0	0	0	0	0	0
39.6	0	0	0	0	0	0	0	0	0	0	0	0	0
39.7	0	0	0	0	0	0	0	0	0	0	0	0	0
39.8	0	0	0	0	0	0	0	0	0	0	0	0	0
39.9	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0
40.1	0	0	0	0	0	0	0	0	0	0	0	0	0
40.2	0	0	0	0	0	0	0	0	0	0	0	0	0
40.3	0	0	0	0	0	0	0	0	0	0	0	0	0
40.4	0	0	0	0	0	0	0	0	0	0	0	0	0
40.5	0	0	0	0	0	0	0	0	0	0	0	0	0
40.6	0	0	0	0	0	0	0	0	0	0	0	0	0
40.7	0	0	0	0	0	0	0	0	0	0	0	0	0
40.8	0	0	0	0	0	0	0	0	0	0	0	0	0
40.9	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	0	0	0	0
41.1	0	0	0	0	0	0	0	0	0	0	0	0	0
41.2	0	0	0	0	0	0	0	0	0	0	0	0	0
41.3	0	0	0	0	0	0	0	0	0	0	0	0	0
41.4	0	0	0	0	0	0	0	0	0	0	0	0	0
41.5	0	0	0	0	0	0	0	0	0	0	0	0	0
41.6	0	0	0	0	0	0	0	0	0	0	0	0	0
41.7	0	0	0	0	0	0	0	0	0	0	0	0	0
41.8	0	0	0	0	0	0	0	0	0	0	0	0	0
41.9	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	0	0	0
42.1	0	0	0	0	0	0	0	0	0	0	0	0	0
42.2	0	0	0	0	0	0	0	0	0	0	0	0	0
42.3	0	0	0	0	0	0	0	0	0	0	0	0	0
42.4	0	0	0	0	0	0	0	0	0	0	0	0	0
42.5	0	0	0	0	0	0	0	0	0	0	0	0	0
42.6	0	0	0	0	0	0	0	0	0	0	0	0	0
42.7	0	0	0	0	0	0	0	0	0	0	0	0	0
42.8	0	0	0	0	0	0	0	0	0	0	0	0	0
42.9	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	0	0	0	0
43.1	0	0	0	0	0	0	0	0	0	0	0	0	0
43.2	0	0	0	0	0	0	0	0	0	0	0	0	0
43.3	0	0	0	0	0	0	0	0	0	0	0	0	0
43.4	0	0	0	0	0	0	0	0	0	0	0	0	0
43.5	0	0	0	0	0	0	0	0	0	0	0	0	0
43.6	0	0	0	0	0	0	0	0	0	0	0	0	0
43.7	0	0	0	0	0	0	0	0	0	0	0	0	0
43.8	0	0	0	0	0	0	0	0	0	0	0	0	0
43.9	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	0	0	0	0
44.1	0	0	0	0	0	0	0	0	0	0	0	0	0
44.2	0	0	0	0	0	0	0	0	0	0	0	0	0
44.3	0	0	0	0	0	0	0	0	0	0	0	0	0
44.4	0	0	0	0	0	0	0	0	0	0	0	0	0
44.5	0	0	0	0	0	0	0	0	0	0	0	0	0
44.6	0	0	0	0	0	0	0	0	0	0	0	0	0
44.7	0	0	0	0	0	0	0	0	0	0	0	0	0
44.8	0	0	0	0	0	0	0	0	0	0	0	0	0
44.9	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0
45.1	0	0	0	0	0	0	0	0	0	0	0	0	0
45.2	0	0	0	0	0	0	0	0	0	0	0	0	0
45.3	0	0	0	0	0	0	0	0	0	0	0	0	0
45.4	0	0	0	0	0	0	0	0	0	0	0	0	0
45.5	0	0	0	0	0	0	0	0	0	0	0	0	0
45.6	0	0	0	0	0	0	0	0	0	0	0	0	0
45.7	0	0	0	0	0	0	0	0	0	0	0	0	0
45.8	0	0	0	0	0	0	0	0	0	0	0	0	0
45.9	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	0	0	0	0
46.1	0	0	0	0	0	0	0	0	0	0	0	0	0
46.2	0	0	0	0	0	0	0	0	0	0	0	0	0
46.3	0	0	0	0	0	0	0	0	0	0	0	0	0
46.4	0	0	0	0	0	0	0	0	0	0	0	0	0
46.5	0	0	0	0	0	0	0	0	0	0	0	0	0
46.6	0	0	0	0	0	0	0	0	0	0	0	0	0
46.7	0	0	0	0	0	0	0	0	0	0	0	0	0
46.8	0	0	0	0	0	0	0	0	0	0	0	0	0
46.9	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0	0	0	0
47.1	0	0	0	0	0	0	0	0	0	0	0	0	0
