Start Time	01/01/2010	01/01/2011	01/01/2012	01/01/2013	01/01/2014	01/01/2015	01/01/2016	01/01/2017	01/01/2018	01/01/2019	01/01/2020	01/01/2021	01/01/2022	01/01/2023	01/01/2024	01/01/2025	01/01/2026	01/01/2027	01/01/2028	01/01/2029	01/01/2030	01/01/2031	01/01/2032	01/01/2033	01/01/2034	01/01/2035	01/01/2036	01/01/2037	01/01/2038	01/01/2039	01/01/2040	01/01/2041	01/01/2042	01/01/2043	01/01/2044	01/01/2045	01/01/2046	01/01/2047	01/01/2048	01/01/2049	01/01/2050	01/01/2051	01/01/2052	01/01/2053	01/01/2054	01/01/2055	01/01/2056	01/01/2057	01/01/2058	01/01/2059	01/01/2060	01/01/2061	01/01/2062	01/01/2063	01/01/2064	01/01/2065	01/01/2066	01/01/2067	01/01/2068	01/01/2069	01/01/2070	01/01/2071	01/01/2072	01/01/2073	01/01/2074	01/01/2075	01/01/2076	01/01/2077	01/01/2078	01/01/2079	01/01/2080	01/01/2081	01/01/2082	01/01/2083	01/01/2084	01/01/2085	01/01/2086	01/01/2087	01/01/2088	01/01/2089	01/01/2090	01/01/2091	01/01/2092	01/01/2093	01/01/2094	01/01/2095	01/01/2096	01/01/2097	01/01/2098	01/01/2099	01/01/2100
End Time	01/01/2011	01/01/2012	01/01/2013	01/01/2014	01/01/2015	01/01/2016	01/01/2017	01/01/2018	01/01/2019	01/01/2020	01/01/2021	01/01/2022	01/01/2023	01/01/2024	01/01/2025	01/01/2026	01/01/2027	01/01/2028	01/01/2029	01/01/2030	01/01/2031	01/01/2032	01/01/2033	01/01/2034	01/01/2035	01/01/2036	01/01/2037	01/01/2038	01/01/2039	01/01/2040	01/01/2041	01/01/2042	01/01/2043	01/01/2044	01/01/2045	01/01/2046	01/01/2047	01/01/2048	01/01/2049	01/01/2050	01/01/2051	01/01/2052	01/01/2053	01/01/2054	01/01/2055	01/01/2056	01/01/2057	01/01/2058	01/01/2059	01/01/2060	01/01/2061	01/01/2062	01/01/2063	01/01/2064	01/01/2065	01/01/2066	01/01/2067	01/01/2068	01/01/2069	01/01/2070	01/01/2071	01/01/2072	01/01/2073	01/01/2074	01/01/2075	01/01/2076	01/01/2077	01/01/2078	01/01/2079	01/01/2080	01/01/2081	01/01/2082	01/01/2083	01/01/2084	01/01/2085	01/01/2086	01/01/2087	01/01/2088	01/01/2089	01/01/2090	01/01/2091	01/01/2092	01/01/2093	01/01/2094	01/01/2095	01/01/2096	01/01/2097	01/01/2098	01/01/2099	01/01/2100	01/01/2101
RLF	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3929.654162	3963.722279	4222.022003	4404.956478	4469.818786	4527.872932	4525.135385	4487.57185	4402.737548	4328.054134	4296.479435	4309.636613	4290.963762	4279.587686	4288.4932	4273.497464	4269.877804	4301.363104	4330.837481	4304.752944	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519																															
SL	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	482.5884415	480.5953488	552.6398254	547.5904088	546.3962625	547.3604099	541.2966058	534.5466774	522.8163602	513.2108162	506.9519959	508.5044432	506.3011883	504.9588977	506.0096808	504.2402976	503.8132052	507.5282318	511.0059849	507.9282073	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343																															
BW	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1719.893505	1783.431483	2110.446756	2346.417839	2508.605322	2686.880463	2830.238639	2935.859525	2973.819593	2967.026573	2976.494362	2985.609328	2972.67324	2964.792177	2970.961696	2960.573022	2958.065411	2979.877646	3000.296764	2982.226044	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098																															
BY	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2684.136444	2715.209247	2679.677749	2849.300361	3063.882474	3318.858746	3587.305293	3827.605174	4055.379889	4228.457371	4397.353591	4576.556119	4590.570981	4570.680893	4558.56324	4568.049282	4552.076011	4548.220394	4581.758142	4613.15388	4585.368958	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178	4590.020178																															
DE Onshore RFALZ_North 2610 50.5 7.5 100M Generator NWST	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1103.060651	1111.079407	1193.665457	1238.136722	1254.053762	1268.808335	1266.607998	1255.529632	1231.388477	1210.316238	1200.857858	1204.535264	1199.316238	1196.136646	1198.62572	1194.43444	1193.422752	1202.222834	1210.460866	1203.170288	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737																															
DE Onshore RFLZ_North 2521 50.0 7.5 100M Generator NWST	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1103.060651	1111.079407	1193.665457	1238.136722	1254.053762	1268.808335	1266.607998	1255.529632	1231.388477	1210.316238	1200.857858	1204.535264	1199.316238	1196.136646	1198.62572	1194.43444	1193.422752	1202.222834	1210.460866	1203.170288	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737																															
DE Onshore RFLZ_South 2431 49.5 6.875 100M Generator NWST	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1103.060651	1111.079407	1193.665457	1238.136722	1254.053762	1268.808335	1266.607998	1255.529632	1231.388477	1210.316238	1200.857858	1204.535264	1199.316238	1196.136646	1198.62572	1194.43444	1193.422752	1202.222834	1210.460866	1203.170288	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737																															
DE Onshore RFLZ_South 2520 50.0 6.875 100M Generator NWST	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1069.911758	1103.060651	1111.079407	1193.665457	1238.136722	1254.053762	1268.808335	1266.607998	1255.529632	1231.388477	1210.316238	1200.857858	1204.535264	1199.316238	1196.136646	1198.62572	1194.43444	1193.422752	1202.222834	1210.460866	1203.170288	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737	1204.390737																															
DE Onshore BAV_North 2527 50.0 11.25 100M Generator NWST	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1611.551244	1719.893505	1783.431483	2110.446756	2346.417839	2508.605322	2686.880463	2830.238639	2935.859525	2973.819593	2967.026573	2976.494362	2985.609328	2972.67324	2964.792177	2970.961696	2960.573022	2958.065411	2979.877646	3000.296764	2982.226044	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098	2985.251098																															
